repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
STMicroelectronics/cmsis-device-h7,https://github.com/STMicroelectronics/cmsis-device-h7,40,26,1,0,3,0,3
STMicroelectronics/cmsis-core,https://github.com/STMicroelectronics/cmsis_core,64,23,0,0,0,0,0
STMicroelectronics/devicetree-addons,https://github.com/STMicroelectronics/devicetree-addons,0,1,0,0,0,0,0
STMicroelectronics/dt-stm32mp,https://github.com/STMicroelectronics/dt-stm32mp,3,1,0,0,0,0,0
STMicroelectronics/linux,https://github.com/STMicroelectronics/linux,123,110,0,1,33,0,33
STMicroelectronics/meta-st-openstlinux,https://github.com/STMicroelectronics/meta-st-openstlinux,117,43,0,0,14,1,15
STMicroelectronics/meta-st-py3-ext,https://github.com/STMicroelectronics/meta-st-py3-ext,1,1,0,0,0,1,1
STMicroelectronics/meta-st-stm32mp,https://github.com/STMicroelectronics/meta-st-stm32mp,166,118,0,8,99,2,101
STMicroelectronics/meta-st-stm32mp-oss,https://github.com/STMicroelectronics/meta-st-stm32mp-oss,9,3,0,0,0,0,0
STMicroelectronics/optee_os,https://github.com/STMicroelectronics/optee_os,13,25,0,0,3,0,3
STMicroelectronics/stm32-dp83848,https://github.com/STMicroelectronics/stm32-dp83848,13,1,0,0,0,0,0
STMicroelectronics/stm32-external-loader,https://github.com/STMicroelectronics/stm32-external-loader,172,87,8,6,11,1,12
STMicroelectronics/stm32-mw-freertos,https://github.com/STMicroelectronics/stm32-mw-freertos,30,13,0,0,0,0,0
STMicroelectronics/stm32-mw-openbl,https://github.com/STMicroelectronics/stm32-mw-openbl,272,56,0,0,0,0,0
STMicroelectronics/stm32-rtl8211,https://github.com/STMicroelectronics/stm32-rtl8211,4,0,0,0,0,0,0
STMicroelectronics/stm32-usbx-examples,https://github.com/STMicroelectronics/stm32-usbx-examples,34,4,1,0,0,0,0
STMicroelectronics/stm32-mw-freertos,https://github.com/STMicroelectronics/stm32_mw_freertos,30,13,0,0,0,0,0
STMicroelectronics/stm32f0xx-hal-driver,https://github.com/STMicroelectronics/stm32f0xx-hal-driver,22,18,1,0,3,1,4
STMicroelectronics/stm32f1xx-hal-driver,https://github.com/STMicroelectronics/stm32f1xx-hal-driver,104,39,1,0,2,1,3
STMicroelectronics/stm32f4xx-hal-driver,https://github.com/STMicroelectronics/stm32f4xx-hal-driver,177,71,0,1,5,6,11
